model,b0,b1,b2,b3,b4
7,-3.0923,1.2611,-0.39518,-0.06588,2.8324
8,-2.4341,1.0449,-0.37591,-0.04869,2.1943
10,-4.0204,1.3514,-0.43355,-0.06881,2.8906
11,-3.555,1.4407,-0.53211,-0.07019,2.4897
